what,kind,bundleId,bundleVersion,description,time
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855316
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855322
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855329
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855338
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855345
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855356
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855362
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855368
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855376
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855383
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855390
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855402
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855409
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855416
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855424
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855431
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855437
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855443
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855450
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855457
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855463
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855469
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855476
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855482
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855488
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855497
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855504
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855510
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855517
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855524
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855530
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855537
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855546
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855552
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855562
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855569
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855575
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855581
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855596
error,log,,,"Unable to read C:\\Users\\Owner\\Dropbox\\android\\Projects\\IPM Toolkit\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/IPM Toolkit/AndroidManifest.xml'.",1373899855605
